dataset,gene_id,locus_tag,gene_symbol,annotation,peak_time_h,corr_p,amplitude_cv,rhythmic_tier,rhythmic_flag
Ito2009,syc2245_c,Synpcc7942_1849,"rpoD5, sigC",group2 RNA polymerase sigma factor,10.8,0.00075,1.0177269171140337,b,True
Ito2009,syc2256_d,Synpcc7942_1838,chlB,light-independent protochlorophyllide reductase subunit B,11.2,0.00084,0.4767016366913205,b,True
Ito2009,syc2289_d,Synpcc7942_1804,,,10.2,0.00013,0.35657067433666473,b,True
Ito2009,syc2309_c,Synpcc7942_1784,sigF2,group3 RNA polymerase sigma factor SigF2,10.8,0.00015,0.6188951286951458,b,True
Ito2009,syc2335_c,Synpcc7942_1757,,hypothetical protein,10.6,4e-05,0.6814070629124346,b,True
Ito2009,syc2419_c,Synpcc7942_1671,kdpC,potassium-transporting ATPase C chain,10.4,0.00029,0.5071791413687029,b,True
Ito2009,syc2420_c,Synpcc7942_1669,kdpB,potassium-transporting ATPase B chain,10.4,0.00069,0.4815140013610114,b,True
Ito2009,syc2421_c,Synpcc7942_1668,kdpA,potassium-transporting ATPase A chain,10.2,0.00069,0.714308107743372,b,True
Ito2009,syc2431_d,Synpcc7942_1656,"cpx, katG",catalase peroxidase,9.8,0.00065,0.4072342840021116,b,True
Ito2009,syc2432_d,Synpcc7942_1654,,,9.8,0.00049,0.32330644909516554,b,True
Ito2009,syc2440_c,Synpcc7942_1646,,,10,0.00024,0.2734532613024059,b,True
